nama_kabel;kategori;kode_desain
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-01
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-02
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-03
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-04
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-07
  Cu/PVC (NYA) 1.5 mm2 re 450/750 V;Building Wire;11-10011-05
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-01
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-02
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-03
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-04
  Cu/PVC (NYA) 1.5 mm2 rm 450/750 V;Building Wire;11-10051-05
  Cu/PVC (NYA) 10 mm2 re 450/750 V;Building Wire;11-10021-01
  Cu/PVC (NYA) 10 mm2 re 450/750 V;Building Wire;11-10039-01
  Cu/PVC (NYA) 10 mm2 re 450/750 V;Building Wire;11-10039-12
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-01
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-02
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-03
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-04
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-05
  Cu/PVC (NYA) 2.5 mm2 re 450/750 V;Building Wire;11-10012-07
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-01
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-02
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-03
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-04
  Cu/PVC (NYA) 2.5 mm2 rm 450/750 V;Building Wire;11-10052-05
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-01
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-02
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-03
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-04
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-05
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10019-01
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10019-02
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10019-03
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10019-04
  Cu/PVC (NYA) 4 mm2 re 450/750 V;Building Wire;11-10034-05
  Cu/PVC (NYA) 6 mm2 re 450/750 V;Building Wire;11-10037-01
  Cu/PVC (NYA) 6 mm2 re 450/750 V;Building Wire;11-10037-03
  Cu/PVC (NYA) 6 mm2 re 450/750 V;Building Wire;11-10037-10
  Cu/PVC/PVC (NYM) 2 x 1.5 mm2 re 300/500 V;Building Wire;11-10010-01
  Cu/PVC/PVC (NYM) 2 x 1.5 mm2 re 300/500 V;Building Wire;11-10010-03
  Cu/PVC/PVC (NYM) 2 x 2.5 mm2 re 300/500 V;Building Wire;11-10033-01
  Cu/PVC/PVC (NYM) 2 x 2.5 mm2 re 300/500 V;Building Wire;11-10033-02
  Cu/PVC/PVC (NYM) 3 x 1.5 mm2 re 300/500 V;Building Wire;11-10024-01
  Cu/PVC/PVC (NYM) 3 x 1.5 mm2 re 300/500 V;Building Wire;11-10024-02
  Cu/PVC/PVC (NYM) 3 x 2.5 mm2 re 300/500 V;Building Wire;11-10009-02
  Cu/PVC/PVC (NYM) 3 x 2.5 mm2 re 300/500 V;Building Wire;11-10009-01
  Cu/PVC/PVC (NYM) 3 x 4 mm2 re 300/500 V;Building Wire;11-10022-01
  Cu/PVC/PVC (NYM) 3 x 4 mm2 re 300/500 V;Building Wire;11-10022-02
  Cu/PVC/PVC (NYM) 3 x 6 mm2 re 300/500 V;Building Wire;11-10038-02
  Cu/PVC/PVC (NYM) 4 x 1.5 mm2 re 300/500 V;Building Wire;11-10032-01
  Cu/PVC/PVC (NYM) 4 x 1.5 mm2 re 300/500 V;Building Wire;11-10032-02
  Cu/PVC/PVC (NYM) 4 x 2.5 mm2 re 300/500 V;Building Wire;11-10023-01
  Cu/PVC/PVC (NYM) 4 x 2.5 mm2 re 300/500 V;Building Wire;11-10023-04
  Cu/PVC/PVC (NYM) 4 x 4 mm2 re 300/500 V;Building Wire;11-10036-01
  Cu/PVC/PVC (NYM) 4 x 4 mm2 re 300/500 V;Building Wire;11-10036-02
  Cu/PVC/PVC (NYM) 4 x 6 mm2 re 300/500 V;Building Wire;11-10050-02
  Cu/PVC/PVC (NYY) 12 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10147-01
  Cu/PVC/PVC (NYY) 14 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10643-01
  Cu/PVC/PVC (NYY) 2 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10131-01
  Cu/PVC/PVC (NYY) 2 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10131-02
  Cu/PVC/PVC (NYY) 2 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10123-01
  Cu/PVC/PVC (NYY) 2 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10123-02
  Cu/PVC/PVC (NYY) 2 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10155-01
  Cu/PVC/PVC (NYY) 2 x 6 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10181-01
  Cu/PVC/PVC (NYY) 3 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10126-01
  Cu/PVC/PVC (NYY) 3 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10126-02
  Cu/PVC/PVC (NYY) 1 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10190-01
  Cu/PVC/PVC (NYY) 3 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10127-01
  Cu/PVC/PVC (NYY) 2 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10140-01
  Cu/PVC/PVC (NYY) 2 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10179-01
  Cu/PVC/PVC (NYY) 3 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10041-01
  Cu/PVC/PVC (NYY) 3 x 2.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10072-01
  Cu/PVC/PVC (NYY) 3 x 2.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10072-10
  Cu/PVC/PVC (NYY) 3 x 4 mm2 re 0.6/1(1.2)kV;Building Wire;21-10051-01
  Cu/PVC/PVC (NYY) 3 x 4 mm2 re 0.6/1(1.2)kV;Building Wire;21-10073-01
  Cu/PVC/PVC (NYY) 3 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10069-01
  Cu/PVC/PVC (NYY) 3 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10082-01
  Cu/PVC/PVC (NYY) 4 x 10 mm2 re 0.6/1(1.2)kV;Building Wire;21-10045-01
  Cu/PVC/PVC (NYY) 4 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10135-01
  Cu/PVC/PVC (NYY) 4 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10042-01
  Cu/PVC/PVC (NYY) 4 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10119-06
  Cu/PVC/PVC (NYY) 4 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10043-01
  Cu/PVC/PVC (NYY) 4 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10043-03
  Cu/PVC/PVC (NYY) 4 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10118-01
  Cu/PVC/PVC (NYY) 4 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10044-01
  Cu/PVC/PVC (NYY) 4 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10044-10
  Cu/PVC/PVC (NYY) 5 x 10 mm2 re 0.6/1(1.2)kV;Building Wire;21-10133-01
  Cu/PVC/PVC (NYY) 5 x 4 mm2 re 0.6/1(1.2)kV;Building Wire;21-10114-01
  Cu/PVC/PVC (NYY) 5 x 2.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10182-01
  Cu/PVC/PVC (NYY) 5 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10068-01
  Cu/PVC/PVC (NYY) 7 x 1.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10146-01
  Cu/PVC/SWA/PVC (NYRGbY) 2 x 1.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10150-02
  Cu/PVC/SWA/PVC (NYRGbY) 2 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10034-01
  Cu/PVC/SWA/PVC (NYRGbY) 2 x 10 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10156-01
  Cu/PVC/SWA/PVC (NYRGbY) 2 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10061-01
  Cu/PVC/SWA/PVC (NYRGbY) 16 x 1.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10224-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 1.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10136-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 10 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10037-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10036-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10210-04
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 4 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10102-01
  Cu/PVC/SWA/PVC (NYRGbY) 3 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10060-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 10 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10109-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 1.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10153-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10035-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10035-02
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 4 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10063-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 4 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10251-03
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10077-01
  Cu/PVC/SWA/PVC (NYRGbY) 4 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10334-01
  Cu/PVC/SWA/PVC (NYRGbY) 5 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10252-01
  Cu/PVC/SWA/PVC (NYRGbY) 5 x 4 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10306-01
  Cu/PVC/SWA/PVC (NYRGbY) 5 x 6 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10289-01
  Cu/PVC/SWA/PVC (NYRGbY) 7 x 2.5 mm2 re 0.6/1 (1.2)kV;Building Wire;21-10285-01
  Cu/PVC/SFA/PVC (NYFGbY) 10 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10195-02
  Cu/PVC/SFA/PVC (NYFGbY) 12 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10027-01
  Cu/PVC/SFA/PVC (NYFGbY) 12 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10027-02
  Cu/PVC/SFA/PVC (NYFGbY) 16 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10129-01
  Cu/PVC/SFA/PVC (NYFGbY) 20 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10183-01
  Cu/PVC/SFA/PVC (NYFGbY) 30 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10033-01
  Cu/PVC/SFA/PVC (NYFGbY) 60 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10917-02
  Cu/PVC/SFA/PVC (NYFGbY) 6 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10032-01
  Cu/PVC/SFA/PVC (NYFGbY) 7 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10113-01
  Cu/PVC/SFA/PVC (NYFGbY) 8 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10225-01
  Cu/PVC/SFA/PVC (NYFGbY) 4 x 2.5 mm2 re 0.6/1(1.2)kV;Building Wire;21-10221-04
  Cu/PVC/SFA/PVC (NYFGbY) 4 x 4 mm2 re 0.6/1(1.2)kV;Building Wire;21-10088-02
  Cu/PVC/SFA/PVC (NYFGbY) 4 x 6 mm2 re 0.6/1(1.2)kV;Building Wire;21-10228-02
  Cu/PVC/SFA/PVC (NYFGbY) 2 x 10 mm2 re 0.6/1(1.2)kV;Building Wire;21-10552-02
  Cu/PVC/SFA/PVC (NYFGbY) 4 x 10 mm2 re 0.6/1(1.2)kV;Building Wire;21-10058-01
  Cu/PVC/SFA/PVC (NYFGbY) 4 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10090-02
  Cu/PVC/SFA/PVC (NYFGbY) 4 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10090-09
  Cu/PVC/SFA/PVC (NYFGbY) 4 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10058-01
  Cu/PVC/SFA/PVC (NYFGbY) 5 x 10 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10653-01
  Cu/PVC/SFA/PVC (NYFGbY) 6 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10431-01
  Cu/PVC/SFA/PVC (NYFGbY) 6 x 4 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10434-02
  Cu/PVC/SFA/PVC (NYFGbY) 7 x 2.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10167-01
  Cu/PVC/SFA/PVC (NYFGbY) 8 x 1.5 mm2 rm 0.6/1(1.2)kV;Building Wire;21-10225-01
  Cu/PVC-f (NYAF) 0.75 mm2 f450/750 V;Building Wire;11-10048-01
  Cu/PVC-f (NYAF) 0.75 mm2 f450/750 V;Building Wire;11-10048-02
  Cu/PVC-f (NYAF) 0.75 mm2 f450/750 V;Building Wire;11-10048-03
  Cu/PVC-f (NYAF) 0.75 mm2 f450/750 V;Building Wire;11-10048-04
  Cu/PVC-f (NYAF) 0.75 mm2 f450/750 V;Building Wire;11-10048-05
  Cu/PVC-f (NYAF) 1.5 mm2 f450/750 V;Building Wire;11-10043-01
  Cu/PVC-f (NYAF) 1.5 mm2 f450/750 V;Building Wire;11-10043-02
  Cu/PVC-f (NYAF) 1.5 mm2 f450/750 V;Building Wire;11-10043-03
  Cu/PVC-f (NYAF) 1.5 mm2 f450/750 V;Building Wire;11-10043-04
  Cu/PVC-f (NYAF) 1.5 mm2 f450/750 V;Building Wire;11-10043-05
  Cu/PVC-f (NYAF) 2 mm2 f450/750 V;Building Wire;11-10274-01
  Cu/PVC-f (NYAF) 2.5 mm2 f450/750 V;Building Wire;11-10044-01
  Cu/PVC-f (NYAF) 2.5 mm2 f450/750 V;Building Wire;11-10044-02
  Cu/PVC-f (NYAF) 2.5 mm2 f450/750 V;Building Wire;11-10044-04
  Cu/PVC-f (NYAF) 4 mm2 f450/750 V;Building Wire;11-10049-01
  Cu/PVC-f (NYAF) 4 mm2 f450/750 V;Building Wire;11-10049-02
  Cu/PVC-f (NYAF) 4 mm2 f450/750 V;Building Wire;11-10049-03
  Cu/PVC-f (NYAF) 6 mm2 f450/750 V;Building Wire;11-10076-01
  Cu/PVC-f (NYAF) 6 mm2 f450/750 V;Building Wire;11-10076-02
  Cu/PVC-f (NYAF) 6 mm2 f450/750 V;Building Wire;11-10076-03
  Cu/PVC-f (NYAF) 10 mm2 f450/750 V;Building Wire;11-10063-01
  Cu/PVC-f (NYAF) 10 mm2 f450/750 V;Building Wire;11-10063-02
  NYMHY 2 x 0.75 mm2 f 300/500 V;Building Wire;11-10004-01
  NYMHY 2 x 0.75 mm2 f 300/500 V;Building Wire;11-10004-04
  NYMHY 2 x 1.5 mm2 f 300/500 V;Building Wire;11-10006-01
  NYMHY 2 x 1.5 mm2 f 300/500 V;Building Wire;11-10006-04
  NYMHY 2 x 2.5 mm2 f 300/500 V;Building Wire;11-10007-01
  NYMHY 2 x 2.5 mm2 f 300/500 V;Building Wire;11-10007-03
  NYMHY 2 x 2.5 mm2 f 300/500 V;Building Wire;11-10007-04
  NYMHY 3 x 0.75 mm2 f 450/750 V;Building Wire;11-10028-03
  NYMHY 3 x 0.75 mm2 f 450/750 V;Building Wire;11-10028-01
  NYMHY 3 x 1.5 mm2 f 300/500 V;Building Wire;11-10015-01
  NYMHY 3 x 1.5 mm2 f 300/500 V;Building Wire;11-10015-02
  NYMHY 3 x 1.5 mm2 f 300/500 V;Building Wire;11-10015-03
  NYMHY 3 x 2.5 mm2 f 300/500 V;Building Wire;11-10025-01
  NYMHY 3 x 2.5 mm2 f 300/500 V;Building Wire;11-10025-04
  NYMHY 3 x 2.5 mm2 f 300/500 V;Building Wire;11-10025-05
  NYMHY 4 x 0.75 mm2 f 300/500 V;Building Wire;11-10029-01
  NYMHY 4 x 1.5 mm2 f 300/500 V;Building Wire;11-10027-01
  NYMHY 4 x 1.5 mm2 f 300/500 V;Building Wire;11-10027-04
  NYMHY 4 x 2.5 mm2 f 300/500 V;Building Wire;11-10018-01
  NYMHY 5 x 2.5 mm2 f 300/500 V;Building Wire;11-10059-01
  NYMHY 3 x 4 mm2 f 300/500 V;Building Wire;11-10116-02
  NYYHY 16 x 1.5 mm2 f 450/750 V;Building Wire;11-10067-03
  NYYHY 2 x 0.75 mm2 f 450/750 V;Building Wire;11-10040-01
  NYYHY 2 x 0.75 mm2 f 450/750 V;Building Wire;11-10040-02
  NYYHY 2 x 1.5 mm2 f 450/750 V;Building Wire;11-10017-01
  NYYHY 2 x 1.5 mm2 f 450/750 V;Building Wire;11-10017-02
  NYYHY 3 x 1.5 mm2 f 450/750 V;Building Wire;11-10013-04
  NYYHY 3 x 1.5 mm2 f 450/750 V;Building Wire;11-10013-03
  NYYHY 3 x 1.5 mm2 f 450/750 V;Building Wire;11-10013-01
  NYYHY 2 x 2.5 mm2 f 450/750 V;Building Wire;11-10042-01
  NYYHY 2 x 2.5 mm2 f 450/750 V;Building Wire;11-10042-02
  NYYHY 2 x 4 mm2 f 450/750 V;Building Wire;11-10053-01
  NYYHY 2 x 6 mm2 f 450/750 V;Building Wire;11-10085-01
  NYYHY 2 x 10 mm2 f 450/750 V;Building Wire;11-10180-01
  NYYHY 3 x 0.75 mm2 f 450/750 V;Building Wire;11-10041-01
  NYYHY 3 x 0.75 mm2 f 450/750 V;Building Wire;11-10041-03
  NYYHY 3 x 2.5 mm2 f 450/750 V;Building Wire;11-10030-01
  NYYHY 3 x 2.5 mm2 f 450/750 V;Building Wire;11-10030-02
  NYYHY 3 x 4 mm2 f 450/750 V;Building Wire;11-10031-01
  NYYHY 3 x 6 mm2 f 450/750 V;Building Wire;11-10087-01
  NYYHY 3 x 10 mm2 f 450/750 V;Building Wire;11-10101-01
  NYYHY 4 x 0.75 mm2 f 450/750 V;Building Wire;11-10080-01
  NYYHY 4 x 0.75 mm2 f 450/750 V;Building Wire;11-10080-02
  NYYHY 4 x 0.75 mm2 f 450/750 V;Building Wire;11-10080-03
  NYYHY 4 x 1.5 mm2 f 450/750 V;Building Wire;11-10035-01
  NYYHY 4 x 1.5 mm2 f 450/750 V;Building Wire;11-10035-02
  NYYHY 4 x 2.5 mm2 f 0.6/1 (1.2) kV;Building Wire;11-10263-01
  NYYHY 4 x 2.5 mm2 f 450/750 V;Building Wire;11-10016-01
  NYYHY 4 x 2.5 mm2 f 450/750 V;Building Wire;11-10016-02
  NYYHY 4 x 4 mm2 f 450/750 V;Building Wire;11-10046-01
  NYYHY 4 x 6 mm2 f 450/750 V;Building Wire;11-10069-01
  NYYHY 4 x 10 mm2 f 450/750 V;Building Wire;11-10102-01
  NYYHY 5 x 1.5 mm2 f 450/750 V;Building Wire;11-10139-01
  NYYHY 5 x 2.5 mm2 f 450/750 V;Building Wire;11-10055-01
  NYYHY 5 x 4 mm2 f 450/750 V;Building Wire;11-10140-01
  NYYHY 8 x 1.5 mm2 f 450/750 V;Building Wire;11-10075-01
  NYYHY 12 x 0.75 mm2 f 450/750 V;Building Wire;11-10190-01
  Cu/PVC-f (NYAF) 16 mm2 f 450/750 V;Building Wire;21-10216-01
  Cu/PVC-f (NYAF) 35 mm2 f 450/750 V;Building Wire;21-10270-01
  Cu/PVC (NYA) 16 mm2 rm 450/750 V;Low Voltage Single Core;21-10017-01
  Cu/PVC (NYA) 16 mm2 rm 450/750 V;Low Voltage Single Core;21-10017-15
  Cu/PVC (NYA) 25 mm2 rm 450/750 V;Low Voltage Single Core;21-10018-01
  Cu/PVC (NYA) 50 mm2 rm 450/750 V;Low Voltage Single Core;21-10048-01
  Cu/PVC (NYA) 120 mm2 rm 450/750 V;Low Voltage Single Core;21-10070-01
  Cu/PVC (NYA) 150 mm2 rm 450/750 V;Low Voltage Single Core;21-10075-01
  Cu/PVC (NYA) 185 mm2 rm 450/750 V;Low Voltage Single Core;21-10076-01
  Cu/PVC (NYA) 240 mm2 rm 450/750 V;Low Voltage Single Core;21-10107-01
  Cu/PVC (NYA) 300 mm2 rm 450/750 V;Low Voltage Single Core;21-10108-01
  Cu/PVC (NYA) 35 mm2 rm 450/750 V;Low Voltage Single Core;21-10019-01
  Cu/PVC (NYA) 70 mm2 rm 450/750 V;Low Voltage Single Core;21-10030-06
